event_id,event_name,skills,interests,event_type,mode
1,Autonomous Systems Career Fair 1,"Graphic Design, Entrepreneurship, ESP32, Cryptography","Backend Development, VLSI, PCB Design, Autonomous Systems",Career Fair,Both
2,Data Analytics Bootcamp 2,"Drone Technology, Electronics","Robotics, Animation, Product Design, Data Analytics",Bootcamp,Both
3,Computer Vision Conference 3,"Graphic Design, 3D Design, Data Science, Python","Drones, Computer Vision, Data Science",Conference,Offline
4,Digital Forensics Career Fair 4,"Circuit Design, Microcontrollers, Marketing","Digital Forensics, App Development, Marketing, PCB Design",Career Fair,Both
5,DevOps Seminar 5,"Innovation, Natural Language Processing, Digital Forensics, Azure","UI/UX, DevOps",Seminar,Both
6,Generative AI Career Fair 6,"Node.js, Graphic Design","Software Engineering, Generative AI, Cyber Defense",Career Fair,Both
7,Marketing Project Exhibition 7,"Generative AI, Backend Development, Deep Learning, Web Development","Digital Electronics, Cyber Defense, Marketing, Graphic Design",Project Exhibition,Both
8,Innovation Webinar 8,"Leadership, Automation, Electronics, Animation","Innovation, Drones, Automation",Webinar,Both
9,Computer Vision Workshop 9,"Drone Technology, Technical Writing, Problem Solving","Marketing, Computer Vision, Digital Forensics, Cloud Computing",Workshop,Online
10,Network Security Webinar 10,"Python, Product Management, Natural Language Processing","Cloud Computing, Network Security",Webinar,Online
11,Graphic Design Career Fair 11,"Data Analytics, Data Science","Leadership, Robotics, Automation, Graphic Design",Career Fair,Both
12,Ethical Hacking Workshop 12,"Ethical Hacking, API Development, Communication, Web Development","Startups, Ethical Hacking, Cloud Architecture",Workshop,Offline
13,Backend Development Seminar 13,"3D Design, Frontend Development, TypeScript","Network Security, Backend Development",Seminar,Both
14,PCB Design Webinar 14,"Data Analytics, Network Security","PCB Design, Open Source",Webinar,Online
15,Digital Electronics Workshop 15,"AWS, Communication, Natural Language Processing","Digital Electronics, Artificial Intelligence, Product Management",Workshop,Offline
16,UI/UX Career Fair 16,"Azure, Web Development, Content Creation","UI/UX, Microcontrollers",Career Fair,Online
17,Startups Hackathon 17,"Python, Drone Technology, Digital Marketing, JavaScript","UI/UX, Startups, Generative AI",Hackathon,Online
18,Ethical Hacking Webinar 18,"Entrepreneurship, ESP32","Ethical Hacking, Animation",Webinar,Offline
19,App Development Workshop 19,"Backend Development, Automation","Automation, App Development",Workshop,Both
20,Cloud Computing Career Fair 20,"Graphic Design, Teamwork","PCB Design, Cloud Computing",Career Fair,Online
21,Marketing Conference 21,"Digital Forensics, Circuit Design, Raspberry Pi","Leadership, Internet of Things, Marketing",Conference,Offline
22,Digital Electronics Bootcamp 22,"Circuit Design, Automation, Product Management, Machine Learning","Digital Electronics, Data Analytics",Bootcamp,Online
23,Digital Electronics Webinar 23,"Python, Digital Electronics","Marketing, Digital Electronics, Automation",Webinar,Offline
24,Internet of Things Webinar 24,"API Development, CAD","Cyber Defense, Internet of Things",Webinar,Both
25,Digital Forensics Tech Talk 25,"Automation, Deep Learning, Node.js","Graphic Design, Digital Forensics",Tech Talk,Both
26,Artificial Intelligence Hackathon 26,"Teamwork, Data Analytics, Digital Forensics, Innovation","Artificial Intelligence, Public Speaking",Hackathon,Offline
27,Artificial Intelligence Project Exhibition 27,"Software Development, TypeScript","Cyber Defense, Artificial Intelligence, Network Security, Autonomous Systems",Project Exhibition,Both
28,Product Management Career Fair 28,"Embedded Systems, Product Management","Product Management, Digital Electronics",Career Fair,Online
